DateTime,CPI当月同比,宏观经济景气指数一致指数,宏观经济景气指数先行指数,宏观经济景气指数滞后指数,工业增加值当月同比,三年期定期存款利率,M2,M2当月同比,克强指数,克强指数累计值
2001/1/31,1.2,96.39,98.64,92.4,2.3,2.7,141240.34,15.16,NaN,NaN
2001/2/28,0,96.83,99.12,91.63,19,2.7,142292.27,15.2,NaN,NaN
2001/3/31,0.8,97.49,99.63,91.68,12.1,2.7,143346.69,14.83,NaN,NaN
2001/4/30,1.6,96.63,99.75,91.68,11.5,2.7,144152.31,13.94,NaN,NaN
2001/5/31,1.7,96.28,99.7,92.24,10.2,2.7,145577.32,14.48,NaN,NaN
2001/6/30,1.4,95.78,99.74,92.98,10.1,2.7,147810,14.3,NaN,NaN
2001/7/31,1.5,95.24,100.1,93.15,8.1,2.7,149229,13.5,NaN,NaN
2001/8/31,1,95.11,100.37,92.91,8.1,2.7,149942,13.6,NaN,NaN
2001/9/30,-0.1,94.97,100.31,92.45,9.5,2.7,151820,13.6,NaN,NaN
2001/10/31,0.2,95.01,100.16,91.71,8.8,2.7,151497,12.9,NaN,NaN
2001/11/30,-0.3,94.95,100.33,91.39,7.9,2.7,154088,13.2,NaN,NaN
2001/12/31,-0.3,95.23,100.7,90.93,8.7,2.7,158301.92,14.4,NaN,NaN
2002/1/31,-1,94.93,100.72,90.86,18.6,2.7,159639.27,13.1,NaN,NaN
2002/2/28,0,95.01,100.75,90.97,2.7,2.52,160935.59,13,NaN,NaN
2002/3/31,-0.8,95.45,100.67,91.02,10.9,2.52,164064.57,14.4,NaN,NaN
2002/4/30,-1.3,96.54,100.71,91.21,12.1,2.52,164570.56,14.1,NaN,NaN
2002/5/31,-1.1,96.98,100.82,91.18,12.9,2.52,166023,14,NaN,NaN
2002/6/30,-0.8,97.19,101.02,91.32,12.4,2.52,169601.24,14.7,NaN,NaN
2002/7/31,-0.9,97.12,101.2,91.64,12.8,2.52,170851.14,14.4,NaN,NaN
2002/8/31,-0.7,97.87,101.52,92.11,12.7,2.52,173250.92,15.5,NaN,NaN
2002/9/30,-0.7,98.31,101.64,92.62,13.8,2.52,176985.21,16.5,NaN,NaN
2002/10/31,-0.8,98.89,101.95,93.04,14.2,2.52,177294.15,17,NaN,NaN
2002/11/30,-0.7,98.42,101.36,93.3,14.5,2.52,179736.26,16.6,NaN,NaN
2002/12/31,-0.4,99.08,101.57,94.37,14.9,2.52,185006.97,16.78,NaN,NaN
2003/1/31,0.4,100,101.87,95.04,14.8,2.52,190545.05,19.3,NaN,NaN
2003/2/28,0.2,100.91,102.19,95.93,19.8,2.52,190108.41,18.1,NaN,NaN
2003/3/31,0.9,100.21,101.31,96.33,16.9,2.52,194487.3,18.54,NaN,NaN
2003/4/30,1,99.09,100.45,97.22,14.9,2.52,196130.13,19.2,NaN,NaN
2003/5/31,0.7,99.05,100.52,97.51,13.7,2.52,199505.19,20.2,NaN,17.2947
2003/6/30,0.3,99.45,101.16,97.52,16.9,2.52,204907.42,20.83,NaN,17.9057
2003/7/31,0.5,99.93,101.99,97.45,16.5,2.52,206193.07,20.7,NaN,18.6447
2003/8/31,0.9,99.93,102.03,97.59,17.1,2.52,210591.9,21.55,NaN,18.8218
2003/9/30,1.1,99.91,102.37,97.95,16.3,2.52,213567.13,20.67,NaN,18.9677
2003/10/31,1.8,99.98,102.4,98.39,17.2,2.52,214469.36,20.97,NaN,18.752
2003/11/30,3,100.39,102.58,98.66,17.9,2.52,216351.73,20.37,NaN,18.9154
2003/12/31,3.2,101.03,102.69,98.61,18.1,2.52,221222.82,19.6,NaN,NaN
2004/1/31,3.2,101.87,102.41,98.56,7.2,2.52,225101.93,18.1,NaN,NaN
2004/2/29,2.1,102.35,102.53,98.7,23.2,2.52,227050.72,19.4,NaN,21.1542
2004/3/31,3,102.64,102.38,99.12,19.4,2.52,231654.6,19.1,NaN,20.2145
2004/4/30,3.8,102.51,102.33,99.41,19.1,2.52,233627.86,19.1,NaN,20.2844
2004/5/31,4.4,102.21,101.65,99.43,17.5,2.52,234842.4,17.5,NaN,19.682
2004/6/30,5,101.86,101.08,99.27,16.2,2.52,238427.49,16.2,NaN,18.0874
2004/7/31,5.3,101.52,100.83,99.08,15.5,2.52,238126.97,15.3,NaN,16.9761
2004/8/31,5.3,101.21,100.87,99.1,15.9,2.52,239729.19,13.63,NaN,16.5753
2004/9/30,5.2,101.11,100.7,98.74,16.1,2.52,243756.88,13.94,NaN,16.0256
2004/10/31,4.3,101.1,100.75,98.05,15.7,3.24,243740.32,13.45,NaN,16.1853
2004/11/30,2.8,101.16,100.67,97.2,14.8,3.24,247135.58,14,NaN,16.2595
2004/12/31,2.4,100.53,100.97,96.38,14.4,3.24,253207.7,14.6,NaN,NaN
2005/1/31,1.9,100.04,101.2,96.43,20.9,3.24,257708.47,14.13,NaN,NaN
2005/2/28,3.9,99.69,101.48,96.14,7.6,3.24,259357.29,13.9,NaN,14.6004
2005/3/31,2.7,99.92,101.82,95.66,15.1,3.24,264588.94,14,NaN,14.0314
2005/4/30,1.8,100.15,102.23,94.45,16,3.24,266992.66,14.1,NaN,13.8775
2005/5/31,1.8,100.49,102.58,93.56,16.6,3.24,269240.49,14.6,NaN,13.7473
2005/6/30,1.6,100.63,102.59,93.18,16.8,3.24,275785.53,15.67,NaN,13.7588
2005/7/31,1.8,100.85,102.47,92.98,16.1,3.24,276966.28,16.3,NaN,13.4459
2005/8/31,1.3,100.86,102.41,92.83,16,3.24,281288.22,17.34,NaN,13.2564
2005/9/30,0.9,101,102.3,92.92,16.5,3.24,287438.27,17.92,NaN,13.1614
2005/10/31,1.2,100.92,102,93.39,16.1,3.24,287591.61,17.99,NaN,12.8386
2005/11/30,1.3,100.84,102.05,93.98,16.6,3.24,292350.39,18.3,NaN,12.2934
2005/12/31,1.6,101.04,102.22,94.89,16.5,3.24,298755.48,17.57,NaN,11.9484
2006/1/31,1.9,100.83,102.66,94.49,12.6,3.24,303571.65,19.21,NaN,NaN
