code,20120601-20120930,20160601-20160731,20150301-20150430,total_return_rate,rank,20120601-20120930_rank,20160601-20160731_rank,20150301-20150430_rank
黄金Ⅱ(申万),10.674995755024707,25.43501987346797,41.656043843570025,0,39,1,0,38
医疗服务Ⅱ(申万),-0.3689485712578655,4.815954691321922,54.45365671271056,0,58,7,40,11
生物制品Ⅱ(申万),-2.1947377933848045,8.137220309105997,42.22164982353072,0,65,10,21,34
化学制药(申万),-1.5777634455962697,8.94867049403234,38.764478170190145,0,72,9,16,47
中药Ⅱ(申万),7.5426191512641525,12.40709440859742,35.88648170818428,0,72,2,4,66
园林工程Ⅱ(申万),7.176220746636375,6.6087890908160585,41.05868936802186,0,72,4,29,39
房屋建设Ⅱ(申万),-8.629851857019933,5.883564386644036,62.85332141662943,0,73,30,36,7
医药商业Ⅱ(申万),13.495973369222302,9.150661819238202,35.33333333333333,0,82,0,13,69
通信运营Ⅱ(申万),-11.089020010261665,4.887931311702087,64.24020298844093,0,83,39,39,5
仪器仪表Ⅱ(申万),-12.1115691832002,6.903291941383394,49.97461970945083,0,86,42,26,18
包装印刷Ⅱ(申万),-15.043354646547325,8.341646206043007,53.2494890521132,0,87,55,19,13
其他建材Ⅱ(申万),-9.136423734338317,8.320282053336639,42.14015171836607,0,88,33,20,35
医疗器械Ⅱ(申万),-3.2852032160507365,1.93748344201754,47.52670171881265,0,97,15,61,21
专业工程(申万),-11.976863563467509,3.198720302092628,63.26698390591147,0,97,41,50,6
船舶制造Ⅱ(申万),-17.04267949419772,7.834469554322142,58.548444038335724,0,98,66,23,9
家用轻工(申万),-15.196352999751072,9.146889414292689,44.24005498754187,0,98,56,14,28
一般零售(申万),-9.92480500677222,5.5436100271650135,42.77619387820961,0,105,37,37,31
景点(申万),-2.486147404054606,-2.787291792778912,74.18410442733325,0,106,12,90,4
航空运输Ⅱ(申万),-23.778857057275506,9.655278639748133,77.3990003529704,0,108,96,9,3
电力(申万),-7.164015233825491,2.612205955164581,42.432214232445496,0,108,23,52,33
橡胶(申万),-9.468266643757783,7.673754927124832,38.256095126117536,0,108,34,24,50
饮料制造(申万),-5.021313422392436,14.30185705994016,28.45314405093797,0,109,18,3,88
