code,20100301-20100930,20110201-20110630,20130801-20130930,20150601-20160331,20160801-20171231,total_return_rate,rank,20100301-20100930_rank,20110201-20110630_rank,20130801-20130930_rank,20150601-20160331_rank,20160801-20171231_rank
稀有金属(申万),60.27120271100588,20.775256827215948,10.049405009485367,-30.395547614566564,25.11844459913655,0,101,2,1,59,29,10
饮料制造(申万),19.782540267822625,10.2972353420822,-6.292311221193647,-12.975550279150351,72.7633112144145,0,124,16,8,97,2,1
电子制造Ⅱ(申万),20.58861457781089,-4.9442925963639865,13.278266015248663,-21.83687062265555,24.953113632415924,0,128,15,51,40,10,12
白色家电(申万),-1.388304098978843,14.207202812791774,7.058153853829553,-29.010745194894362,66.86547608996972,0,156,51,5,72,26,2
动物保健Ⅱ(申万),9.307185191349296,-1.9158968936887288,9.70160937660276,-9.365535450803751,5.763512812215699,0,158,26,39,61,1,31
化学制药(申万),13.849806899470195,-4.440319207954591,11.246811286690516,-28.27965777323316,12.34518681585357,0,164,22,50,49,22,21
银行Ⅱ(申万),-16.347404422036313,1.0281795638843905,12.728928614086099,-13.668925893084413,16.584324742894818,0,166,80,24,42,3,17
一般零售(申万),16.383160335107227,-5.1486629022624575,27.260964018471554,-35.24698497730701,4.475888261037243,0,168,19,56,11,47,35
食品加工(申万),5.3768343068813165,-12.795309562937966,26.348456210852266,-30.81505427277802,29.200524005423922,0,169,34,85,12,30,8
水泥制造Ⅱ(申万),4.488199625814303,27.425563292202607,7.693189410115675,-37.81146678197216,52.72529224096794,0,169,35,0,67,64,3
专业零售(申万),14.802619731904265,-3.4760705289672456,86.74708945463884,-36.9550503268675,-1.5176610106731658,0,169,21,46,0,58,44
饲料Ⅱ(申万),-21.543527894567145,3.4766667590206746,21.216498054474695,-16.3199637129551,-2.4719749335761043,0,175,89,15,18,6,47
旅游综合Ⅱ(申万),-1.6300235457239354,-7.525937311302633,29.464145073639454,-27.1027910941143,10.432775458999345,0,175,53,67,8,20,27
家用轻工(申万),4.420952698628544,0.4822151440935008,17.935034404653628,-27.72405896144969,-9.44855096900814,0,178,36,28,27,21,66
服装家纺(申万),2.7274511378132305,1.8986573651634144,20.976710070745238,-28.61494209561133,-19.90309639679796,0,186,39,20,19,24,84
机场Ⅱ(申万),-26.28351676223707,-7.272612219254104,19.497521597507415,-15.843177120965171,45.90137845846058,0,193,96,65,23,4,5
保险Ⅱ(申万),-7.624743578631065,-3.064903846153844,9.43089023596011,-25.65489582314389,97.96090083220487,0,193,68,43,63,19,0
元件Ⅱ(申万),5.784774382366709,-1.4730994645191118,10.578879476574857,-31.682146089432106,4.853674504725625,0,194,33,38,56,33,34
煤炭开采Ⅱ(申万),-8.741774920681888,8.649038069111391,10.165677398724938,-35.019982665639446,19.503252640971745,0,196,69,10,58,45,14
塑料Ⅱ(申万),6.237659461222812,-0.15322133306437946,5.7392893205750815,-24.057413030696,-0.915583650788443,0,198,31,32,80,12,43
化学原料(申万),-5.359469042961429,15.352595832853687,9.803643950966867,-34.618844226651646,4.992828198114174,0,201,64,4,60,40,33
化学纤维(申万),-6.244615404596865,-1.4047698261219876,10.782710938947094,-32.788866374655726,25.07127108553657,0,202,65,37,53,36,11
综合Ⅱ(申万),-0.7944475746555324,6.651564348460815,14.152356497084464,-29.778811506946074,-13.93277650755136,0,203,49,13,38,27,76
港口Ⅱ(申万),-21.046913952363912,0.7652268380983873,38.94142087905945,-37.811808834603376,12.300036700416662,0,203,87,26,3,65,22
汽车整车(申万),-3.0225889831153263,-6.896449271387549,16.115895778746502,-24.37364622639605,3.99485689100385,0,204,57,64,32,14,37
造纸Ⅱ(申万),-3.7790198397314785,0.9979976141786028,9.441270386757727,-34.66919867485411,17.07539272172156,0,205,60,25,62,42,16
汽车零部件Ⅱ(申万),12.077034906441984,-11.432939490842642,14.978022435141925,-28.917866391822518,2.7833675857738216,0,205,25,81,35,25,39
渔业(申万),40.20650090403621,-4.996814564459173,13.870034708831458,-36.82942416607288,-6.01341146619948,0,208,4,53,39,56,56
电机Ⅱ(申万),26.219671702308545,-3.710724001379362,7.164823660276133,-20.09106563549117,-12.317769529657118,0,208,10,47,71,8,72
半导体(申万),25.028793478152014,-11.733165492845533,19.14641178036014,-38.704301025579404,12.730444182389931,0,208,11,82,25,70,20
纺织制造(申万),-2.0526670531619606,8.627827706771862,10.921264323401502,-24.287060361902203,-16.833632841672895,0,211,55,11,51,13,81
化学制品(申万),-4.616633325681296,2.6363683795388453,7.519607033765374,-30.883396700466186,5.703170771718491,0,212,62,17,70,31,32
畜禽养殖Ⅱ(申万),-12.936573075528244,2.1863248963380317,14.30876914142496,-6.917217813330357,-17.29745778853372,0,213,76,18,37,0,82
房地产开发Ⅱ(申万),-17.368494371272604,7.608660505842858,4.147861009016496,-23.328468348041948,10.711828312454118,0,216,82,12,86,11,25
其他建材Ⅱ(申万),-16.74101841897617,1.3356406230849551,7.057263263168956,-28.302155588670622,14.167692214578253,0,217,81,22,73,23,18
酒店Ⅱ(申万),-1.7134004054932817,-10.458491172032067,25.961467008169326,-16.04212819926949,-9.013533613676847,0,217,54,79,14,5,65
生物制品Ⅱ(申万),6.230708772859628,-6.351235757359907,6.862415441030456,-29.876267345402884,10.748621503851519,0,219,32,59,76,28,24
金属非金属新材料(申万),44.04502921935653,-6.369005376667436,0.5679566767930133,-35.05463188622349,13.366066895347538,0,220,3,61,91,46,19
医药商业Ⅱ(申万),17.882688880169038,-12.812137649994748,18.106049944488745,-36.41301104148015,2.677933916657516,0,221,18,86,26,51,40
其他电子Ⅱ(申万),29.559432311990967,-6.362679984508767,5.125562528195181,-24.598294751613377,-7.251141784147707,0,223,8,60,82,15,58
医疗器械Ⅱ(申万),24.301656403563317,-3.3742067024667644,23.463059544298172,-41.23209799081658,-10.6527681666317,0,223,12,45,17,81,68
多元金融Ⅱ(申万),-20.034256944384374,11.802667262790687,31.72790313363911,-40.87243915039907,-3.25356142211779,0,228,86,6,6,80,50
景点(申万),6.60177826300159,-6.563947148542058,11.508772096604767,-18.198356647030288,-19.735716179625413,0,228,28,62,48,7,83
餐饮Ⅱ(申万),-6.323328595713852,-0.2595729925199408,17.074213634784474,-31.729650866202782,-10.568452978301114,0,230,66,33,30,34,67
园林工程Ⅱ(申万),141.14703903303268,-17.614387996474036,0.9844473958163792,-24.77634569792665,9.036272762470363,0,231,0,95,90,18,28
计算机设备Ⅱ(申万),6.5768099398516116,-7.506290873152177,23.738343997990217,-38.954839152454454,-3.2351402496915926,0,231,29,66,15,72,49
工业金属(申万),-1.3603890431170051,-3.3145180475356195,12.223021582733828,-39.52760798869461,17.330006238303184,0,231,50,44,47,75,15
光学光电子(申万),6.306409432317484,-2.7712684666327148,1.758104963105955,-37.469094527982094,25.290498974709497,0,232,30,42,89,62,9
物流Ⅱ(申万),-2.2285879277855414,2.1628569980824963,26.223769577778896,-38.356475288463436,-13.720699933528767,0,232,56,19,13,69,75
橡胶(申万),-11.925933163963256,15.718769755509474,10.794887321408119,-24.60956510802579,-23.79717837490813,0,233,73,3,52,16,89
园区开发Ⅱ(申万),-21.23084782676889,-1.0993485342019604,61.212945060326426,-32.35174813892922,-12.367058396605636,0,233,88,36,1,35,73
