code,20010501-20020131,20040801-20050131,20080201-20090331,20110701-20120731,20131001-20141231,total_return_rate
券商Ⅱ(申万),-41.392613701541364,-20.182682834867858,-30.10845876987863,-12.296264183347649,159.76826461799152,68.08450931170367
港口Ⅱ(申万),-18.235935357148247,8.746137278771403,-29.03905441150085,-29.326001300426263,87.35269959937644,48.823847109498736
地面兵装Ⅱ(申万),-41.4929398956827,-31.59699233897664,5.192270548760503,-51.41816310069621,86.89733511232917,18.999673426430334
仪器仪表Ⅱ(申万),-28.577611422103217,-14.537636440958279,-33.67591272296807,-30.431988799322944,83.74245873148695,6.951298145457379
水务Ⅱ(申万),-19.20366178476304,-14.569544047057205,-35.98636069328803,-18.442473345122,71.83610292197595,2.0765363968676738
运输设备Ⅱ(申万),-34.293210657285535,-32.908974576111696,-13.75295513468383,-40.45516261245828,82.11508996025366,1.1599495921725946
公交Ⅱ(申万),-26.7727892754815,-7.302716977753908,-22.164772055575252,-34.13360194771353,55.62583475157346,-0.6144435572372053
钢铁Ⅱ(申万),-25.783284617411493,-1.6727002160630833,-56.45237148861171,-40.96482580829739,78.64953886693019,-5.258817455156098
电力(申万),-27.552126621616736,-22.232520061478105,-33.45920532401133,-20.109482639927453,75.3923228655716,-7.85152914153457
物流Ⅱ(申万),-24.22401904294108,-19.271002315876622,-20.946106574427372,-22.952826716299853,53.984886169414466,-10.456241763830608
高低压设备(申万),-40.70169350360911,-13.979064709081024,6.392955680437563,-40.70044488190514,36.96701014049341,-11.32079239175916
航运Ⅱ(申万),-32.79365841940909,-12.714948154827075,-56.40896667852111,-43.37700718034002,88.7611071793662,-13.156466073391066
航空运输Ⅱ(申万),-26.57992676811707,-6.3302932654090585,-60.46833023081482,-38.04530398315278,77.55080662057405,-15.827743643766894
高速公路Ⅱ(申万),-24.45516328212611,-6.2411301418094025,-41.03987309179762,-26.360671468308592,55.77257485820779,-15.963591657525338
航空装备Ⅱ(申万),-31.10163824807757,-21.46007112835435,-27.070327746560523,-44.565815789084475,59.037678050189285,-20.594359072803158
园区开发Ⅱ(申万),-30.28866670730964,-10.877999119524553,-12.928915505278196,-28.150914544492146,31.53572606958244,-22.55985526252995
机场Ⅱ(申万),-16.761284237003913,6.461246284267318,-52.78275829683325,-11.066482737105844,38.77208535007088,-24.310710899498964
景点(申万),-22.673375080483872,15.477077897875516,-51.82748618178628,-4.76749825699474,33.46909893838544,-25.55468442600919
其他建材Ⅱ(申万),-15.560155947931442,-28.29972761787828,-25.956990331103892,-34.078886364356286,43.74422485251164,-26.07264904440197
通用机械(申万),-30.96630715635484,-16.27621881026776,-36.08315091064729,-39.73525632958626,56.560503461497056,-26.765173415772832
房地产开发Ⅱ(申万),-30.329961844327197,-9.671372930866607,-42.48590916718489,-15.541305961291707,54.822894521668026,-27.664349420710668
其他电子Ⅱ(申万),-34.09032979098859,10.726281116690961,-40.73374392126029,-40.6741628522132,32.939908173660605,-31.157884421897315
医药商业Ⅱ(申万),-22.728320579354865,-21.068283491213,-21.306686165705372,-14.30665313694741,32.71437397943422,-32.38891625683901
银行Ⅱ(申万),-26.951628227482015,-16.695580581610752,-40.8537036858185,-12.843939526508976,51.38601316480731,-33.11489933010397
贸易Ⅱ(申万),-32.90764640151282,-11.728482446206113,-40.071195057344646,-33.25049701789264,48.92653162965613,-35.78079227540745
计算机应用(申万),-41.524517015404456,-18.502309296781878,-25.70078445803471,-28.488351777807733,49.734372055539296,-35.99323871468175
电机Ⅱ(申万),-40.13963951218133,-20.70428744626914,-33.30296591757045,-34.78932548107194,57.86653408463154,-36.28035879138938
其他采掘Ⅱ(申万),-34.77337182471513,-7.2668051889706256,-13.696825683808145,-42.33843571400024,19.26892411178558,-36.46807858570832
医疗器械Ⅱ(申万),-31.393035140137325,-19.357412363080297,-12.552531775317755,-21.782126723728013,26.478422451759663,-36.82455682677571
多元金融Ⅱ(申万),-35.488737706651634,-18.158738845563306,-38.548929919488295,-31.39594843462247,55.37180877568368,-36.82459769601955
专用设备(申万),-25.223743813987586,-20.8156256707448,-33.69889988838035,-36.36383699359082,42.17325988983474,-37.565009483278004
汽车零部件Ⅱ(申万),-31.216864428174706,-20.961558752154183,-40.61246810061976,-39.85205895368637,54.738043840924895,-38.052847440023754
水泥制造Ⅱ(申万),-30.95431994524189,-29.858017698813548,-34.854552453619384,-48.03546994898961,56.96830363795047,-38.69858645972435
通信设备(申万),-31.085430377227716,-13.154916904115947,-29.12716118237589,-41.206231277712114,33.92358462173759,-39.44392384198196
纺织制造(申万),-22.047702844097785,-22.06101190476189,-35.570224368024675,-36.51969366408993,39.5472568120495,-40.131682304834854
林业Ⅱ(申万),-37.11593068950057,-18.5603372260576,-44.408609086413385,-32.433323650181755,59.60524711501913,-40.47962988695243
白色家电(申万),-23.63116158828825,-20.56446356407248,-39.70276169400066,-30.42408617777451,43.14111770612233,-40.75726914023906
玻璃制造Ⅱ(申万),-28.625557955048198,-17.501683639109398,-15.168906399329064,-50.32580768317976,20.294325476969632,-41.001822516517024
种植业(申万),-38.010205651887546,-17.14251107419711,-5.269514499370864,-32.244615236750604,15.667298764140458,-44.75493246131506
生物制品Ⅱ(申万),-29.10273486827311,-12.245231539109547,-23.66108042028381,-16.176102509759815,19.836774740222094,-45.17227208744437
饮料制造(申万),-20.88266736591564,-5.0916329995901455,-45.331260967002045,4.189303981889214,25.965982330933453,-45.33957900157438
通信运营Ⅱ(申万),-35.70970328789094,-6.984470025094447,-48.50378808704353,-31.86297382827841,44.045622729895754,-47.15233867013316
包装印刷Ⅱ(申万),-31.46128644680948,-13.032287085165937,-33.917866071211876,-39.11337222207424,31.2355639056197,-47.17587569756759
燃气Ⅱ(申万),-27.56402335423681,-9.586805442970947,-32.230116940514705,-16.198775144515764,19.99995327659554,-49.38099246112692
一般零售(申万),-31.703241343720048,-5.309948593891756,-42.86588001383126,-31.783053057724644,30.455372273441014,-49.42369767800204
动物保健Ⅱ(申万),-14.028169444635493,-23.40571785658492,-39.4493870066224,-18.513955726660246,26.007765862684984,-50.875508445157834
服装家纺(申万),-30.651403996964326,-20.64420684553829,-39.364248438912,-22.88517271953311,39.704674359475824,-50.955184921938795
其他交运设备Ⅱ(申万),-34.450668777527454,-28.431576321915532,-39.86788227343202,-45.70757973215518,51.40153970365824,-51.34858766921677
中药Ⅱ(申万),-29.11385796144257,-4.734761917565134,-25.057696388059203,-4.81545917733317,5.2861689090572215,-53.62014735800969
综合Ⅱ(申万),-35.32533425664518,-18.226211302958863,-39.62339514978603,-34.367359268944284,38.3795721348736,-54.79536857451647
电子制造Ⅱ(申万),-24.740969446706945,-8.046463038503637,-22.87716246254954,-12.958879394592426,-0.5038250988654291,-56.16842004662554
饲料Ⅱ(申万),-33.017688205064765,-19.938355965223483,-23.840948089228164,-11.485271345504199,20.516270852165338,-56.28072140735107
农产品加工(申万),-35.206333943166854,-24.630330737909865,-31.503758786111625,-41.742569930069926,34.664300068944264,-56.67612339824408
化学制药(申万),-28.41667180121996,-22.632056565962124,-19.291746469092665,-26.759568443167872,12.634501300447099,-57.705973535827646
橡胶(申万),-36.20701940943997,-22.369591671864928,-47.04950703141713,-28.207709874445356,47.323077150327165,-58.30304096239486
电源设备(申万),-37.174423883908645,-18.970300930866347,-39.61538839274022,-49.460897006302964,37.1460196155808,-58.61409359193442
化学制品(申万),-33.39191012646311,-7.683349788612936,-38.795707773434536,-31.05942580670242,21.189586796530982,-58.6813808919796
酒店Ⅱ(申万),-34.90793136494319,-18.19849337701979,-35.18309488199714,-7.15071885533466,29.550415524449658,-58.73910409951046
家用轻工(申万),-36.083688503383755,-16.57310718094204,-48.767211376289616,-33.01908237879343,42.35839310916789,-59.06561395144752
塑料Ⅱ(申万),-36.719452823199454,-20.72880693295106,-34.17998285510638,-30.90651976286121,31.627149782179664,-60.00109282907723
食品加工(申万),-12.147874279448168,-3.866768568331569,-38.544793186817984,-8.67933476440762,-5.4650170559018445,-60.02445309049956
环保工程及服务Ⅱ(申万),-26.9547929643123,-21.187244750629095,-31.91362195312094,-25.61905227281057,19.69358518439097,-60.362074483671364
旅游综合Ⅱ(申万),-34.434919221158374,-8.017211232914201,-48.78950907868192,-4.0697099212473775,28.8860837461836,-62.35555578657089
金属非金属新材料(申万),-41.481396839276044,-15.7243791338194,-26.21699196326061,-13.587780375632686,20.895390070921984,-62.527377865434076
煤炭开采Ⅱ(申万),-21.144843196309196,-5.575187055608809,-48.0056697022937,-34.46894965833518,10.790659536024515,-63.93504041818719
铁路运输Ⅱ(申万),-47.28271931610014,-11.49801678811918,-51.72850308096133,-31.069968060654894,46.056820849964794,-64.45241833521587
汽车整车(申万),-21.477833719206696,-27.499005757958265,-45.30176930010386,-30.1269856076432,29.203152688905522,-65.0754560883633
电气自动化设备(申万),-38.958458575751706,-27.668088329738,-25.85960940232296,-39.89133342510084,24.91959346455679,-67.56656284325588
半导体(申万),-36.39623524005678,-26.9178758641647,-36.65061986111703,-37.95142116997175,32.22957441066161,-67.7351565546769
餐饮Ⅱ(申万),-29.38798078584511,-28.03131842611637,-49.1167384588609,-7.860101516791984,38.738358290723156,-67.79767938009923
化学原料(申万),-35.40346639756039,-19.899539556299707,-42.85994413304475,-46.87346567298826,29.605499793011237,-68.55745029389361
畜禽养殖Ⅱ(申万),-40.051985376471336,-20.348420753875466,-32.38984606985997,-21.40447163615098,24.205848378540274,-68.5844038216665
视听器材(申万),-38.438986672966855,-36.75973748592287,-38.99486386480368,-28.5602788906811,44.671509454118144,-69.52207856957526
农业综合Ⅱ(申万),-61.471899405237856,-21.113043478260874,-38.82868937048504,-36.358582546968094,50.84620479220378,-70.56742746177999
互联网传媒(申万),-44.40862938318789,6.435183882495288,-46.01840040202558,-19.48606390210742,12.052005644023378,-71.9398402586948
汽车服务Ⅱ(申万),-34.782838632908046,-18.16852947129333,-39.981143113544576,-43.66122745590275,19.76828539728601,-73.16422582045993
计算机设备Ⅱ(申万),-38.544061302681996,-12.70003928199348,-46.956080155553636,-23.753012322102485,24.221180545188542,-73.97900019504057
石油开采Ⅱ(申万),-27.314357901385645,-32.09978247291681,-52.792868620399425,-18.652572964048094,37.86045256196859,-74.34655643273328
造纸Ⅱ(申万),-30.91141191488861,-11.1973433827096,-50.6973145969776,-35.92407065647245,17.85020377990463,-74.95586611467118
